recipe_id,recipe_name,cooking_time,difficulty,sub_ingredients,Seasonings,main_ingredients
124,고등어살튀김과소스,30.0,2,"소금, 청주, 녹말, 식용유","간장, 설탕, 미림, 마른고추, 생강, 물",고등어
125,가지와마른새우무침,30.0,1,"식용유, 깨소금","진간장, 다진파, 다진마늘, 참기름, 소금","가지, 마른새우"
126,채소말이샤브샤브,60.0,2,"육수, 물, 다시마, 술","깨소금, 된장, 설탕, 간장, 맛술","쇠고기, 팽이버섯, 당근, 부추"
127,떡갈비구이,50.0,2,"양파, 밀가루","다진파, 다진마늘, 간장, 설탕, 깨소금, 참기름, 후춧가루",쇠고기
128,골뱅이무침,30.0,1,"대파, 당근, 샐러리, 소면","고추장, 고춧가루, 식초, 진간장, 설탕, 깨소금, 참기름, 다진마늘","골뱅이통조림, 오이, 양파"
129,두부양념조림,20.0,1,"홍고추, 통깨","간장, 설탕, 물엿, 후춧가루, 참기름, 실고추",두부
130,육회,30.0,1,"오이, 상추, 계란노른자","간장, 참기름, 깨소금, 후춧가루, 설탕","쇠고기, 배, 잣가루, 잣"
131,까르보나라스파게티,40.0,2,"햄, 베이컨, 양파, 화이트와인","바질, 버터, 소금, 후춧가루","스파게티, 생크림, 우유"
132,삼계탕,60.0,2,"찹쌀, 마늘, 대추, 생강, 물","수삼, 대파, 소금, 후춧가루",닭고기
133,주먹밥,30.0,1,"당근, 식용유, 상추, 파슬리, 토마토, 청피망","소금, 간장, 설탕, 다진파, 다진마늘, 참기름, 후춧가루, 깨소금","밥, 쇠고기"
134,유부계란찜,20.0,2,"물, 실파, 맛살","간장, 소금, 설탕, 후춧가루","유부, 계란"
135,속채운감자,20.0,1,"버터, 우유, 후루츠칵테일, 은박컵","설탕, 계핏가루, 파슬리가루",감자
136,떡갈비샌드위치,30.0,2,"양상추, 토마토, 피클, 슬라이스치즈","버터, 겨자, 소금, 후춧가루","식빵, 쇠고기"
137,버섯덮밥,40.0,1,"양파, 당근, 미나리","간장, 들깨, 육수, 녹말, 참기름, 후춧가루, 설탕, 청주, 다진마늘","밥, 쇠고기, 느타리버섯, 표고버섯, 양송이버섯, 목이버섯, 팽이버섯"
138,닭고기수삼샐러드,60.0,2,"배, 밤, 대추, 오이, 설탕, 요리술, 소금","머스터드, 마요네즈, 후춧가루, 레몬즙, 설탕","양상추, 닭고기, 수삼"
139,컬리플라워해물샐러드,30.0,2,소금,"마요네즈, 머스터드","컬리플라워, 오징어, 새우"
140,과일샐러드,20.0,1,,오렌지마요네즈,"사과, 자몽, 샐러리, 오이, 딸기"
141,연어샐러드,10.0,1,"트레비스, 양파, 케이퍼","다진양파, 올리브오일","훈제연어, 앤다이브"
142,시금치샐러드,20.0,1,파마산치즈치즈,"레몬드레싱, 레몬주스, 올리브오일, 소금, 후춧가루","시금치, 양송이버섯, 베이컨"
143,채소수프,40.0,1,"당근, 양파, 샐러리, 양송이버섯, 물, 버터","월계수잎, 소금, 후춧가루","감자, 홀토마토"
144,부대찌개,40.0,1,"베이컨, 두부, 홍고추, 청고추, 깻잎, 스파게티, 쑥갓, 양송이버섯, 물","고춧가루, 고추장, 설탕, 다진파, 다진마늘","햄, 프랑크소시지, 김치"
